DATA_YEAR,ORI,Agency_name,Agency_type,state_name,location_name,OFFENSE_NAME,CLEARED_COUNT,CRIME TYPE
2013,MO0950000,St. Louis County Police Department,County,Missouri,ST LOUIS,Human Trafficking,384,HT
2013,OH0020000,Allen,County,Ohio,ALLEN,Human Trafficking,64,HT
2013,OH0020000,Allen,County,Ohio,ALLEN,Human Trafficking,0,HT
2013,TN0320100,Morristown,City,Tennessee,"HAMBLEN, JEFFERSON",Human Trafficking,64,HT
2013,TNMPD0000,Memphis,City,Tennessee,SHELBY,Human Trafficking,128,HT
2013,WA0173600,Federal Way,City,Washington,KING,Human Trafficking,64,HT
2014,AK0010100,Anchorage,City,Alaska,ANCHORAGE,Human Trafficking,0,HT
2014,AKAST0100,Alaska State Troopers,State Police,Alaska,NOT SPECIFIED,Human Trafficking,30,HT
2014,AZ0070300,Buckeye,City,Arizona,MARICOPA,Human Trafficking,106,HT
2014,AZ0070300,Buckeye,City,Arizona,MARICOPA,Human Trafficking,53,HT
2014,AZ0071300,Glendale,City,Arizona,MARICOPA,Human Trafficking,0,HT
2014,AZ0071500,Goodyear,City,Arizona,MARICOPA,Human Trafficking,50,HT
2014,AZ0072500,Scottsdale,City,Arizona,MARICOPA,Human Trafficking,192,HT
2014,AZ0072900,Tempe,City,Arizona,MARICOPA,Human Trafficking,192,HT
2014,AZ0100300,Tucson,City,Arizona,PIMA,Human Trafficking,0,HT
2014,CO0010100,Aurora,City,Colorado,"ADAMS, ARAPAHOE, DOUGLAS",Human Trafficking,192,HT
2014,CO0030000,Arapahoe,County,Colorado,ARAPAHOE,Human Trafficking,128,HT
2014,CO0030000,Arapahoe,County,Colorado,ARAPAHOE,Human Trafficking,0,HT
2014,CO0300000,Jefferson,County,Colorado,JEFFERSON,Human Trafficking,0,HT
2014,CO0300400,Lakewood,City,Colorado,JEFFERSON,Human Trafficking,0,HT
2014,CO0620200,Greeley,City,Colorado,WELD,Human Trafficking,256,HT
2014,FL0051200,Palm Bay,City,Florida,BREVARD,Human Trafficking,64,HT
2014,FL0110000,Collier,County,Florida,COLLIER,Human Trafficking,256,HT
2014,FL0110000,Collier,County,Florida,COLLIER,Human Trafficking,0,HT
2014,FL0290000,Hillsborough,County,Florida,HILLSBOROUGH,Human Trafficking,0,HT
2014,FL0290000,Hillsborough,County,Florida,HILLSBOROUGH,Human Trafficking,0,HT
2014,FL0310000,Indian River,County,Florida,INDIAN RIVER,Human Trafficking,192,HT
2014,FL0360000,Lee,County,Florida,LEE,Human Trafficking,0,HT
2014,FL0370300,Tallahassee,City,Florida,LEON,Human Trafficking,64,HT
2014,FL0410000,Manatee,County,Florida,MANATEE,Human Trafficking,64,HT
2014,FL0410000,Manatee,County,Florida,MANATEE,Human Trafficking,0,HT
2014,FL0480000,Orange,County,Florida,ORANGE,Human Trafficking,320,HT
2014,FL0480400,Orlando,City,Florida,ORANGE,Human Trafficking,64,HT
2014,FL0490000,Osceola,County,Florida,OSCEOLA,Human Trafficking,256,HT
2014,FL0520300,Clearwater,City,Florida,PINELLAS,Human Trafficking,1600,HT
2014,FL0520300,Clearwater,City,Florida,PINELLAS,Human Trafficking,0,HT
2014,FL0521400,St. Petersburg,City,Florida,PINELLAS,Human Trafficking,64,HT
2014,FL0580100,Sarasota,City,Florida,SARASOTA,Human Trafficking,64,HT
2014,HI0020000,Honolulu,City,Hawaii,HONOLULU,Human Trafficking,0,HT
2014,IL0090200,Beardstown,City,Illinois,CASS,Human Trafficking,0,HT
2014,IL0160100,Alsip,City,Illinois,COOK,Human Trafficking,0,HT
2014,IL0162900,East Hazel Crest,City,Illinois,COOK,Human Trafficking,0,HT
2014,IL0163400,Flossmoor,City,Illinois,COOK,Human Trafficking,0,HT
2014,IL0163400,Flossmoor,City,Illinois,COOK,Human Trafficking,0,HT
2014,IL0165N00,Union Pacific Railroad:,Other,Illinois,COOK,Human Trafficking,0,HT
